#Config,TranslationTime,#Vars,#Clauses 
10,150,90,1877
11,155,110,2411
12,204,132,3032
13,288,156,3746
14,338,182,4559
15,371,210,5477
16,479,240,6506
17,531,272,7652
18,643,306,8921
19,857,342,10319
20,1070,380,11852
21,1142,420,13526
22,1342,462,15347
23,1496,506,17321
24,1776,552,19454
25,2093,600,21752
26,2381,650,24221
27,2836,702,26867
28,3535,756,29696
29,4113,812,32714
