#Config,TranslationTime,#Vars,#Clauses 
10,35,90,962
11,39,110,1234
12,46,132,1550
13,67,156,1913
14,77,182,2326
15,115,210,2792
16,88,240,3314
17,187,272,3895
18,141,306,4538
19,104,342,5246
20,118,380,6022
21,184,420,6869
22,236,462,7790
23,151,506,8788
24,171,552,9866
25,210,600,11027
26,194,650,12274
27,210,702,13610
28,229,756,15038
29,246,812,16561
