#Config,TranslationTime,#Vars,#Clauses 
10,32,90,1242
11,42,110,1630
12,79,132,2090
13,60,156,2628
14,64,182,3250
15,70,210,3962
16,82,240,4770
17,89,272,5680
18,100,306,6698
19,112,342,7830
20,124,380,9082
21,126,420,10460
22,152,462,11970
23,160,506,13618
24,162,552,15410
25,197,600,17352
26,217,650,19450
27,226,702,21710
28,221,756,24138
29,257,812,26740
