#Config,TranslationTime,#Vars,#Clauses 
10,132,90,962
11,146,110,1234
12,151,132,1550
13,162,156,1913
14,182,182,2326
15,139,210,2792
16,114,240,3314
17,126,272,3895
18,145,306,4538
19,173,342,5246
20,187,380,6022
21,240,420,6869
22,244,462,7790
23,225,506,8788
24,265,552,9866
25,255,600,11027
26,283,650,12274
27,314,702,13610
28,335,756,15038
29,363,812,16561
