#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses
5,21,79,true,351,19698
6,37,352,true,671,44856
7,96,756,true,1311,100156
8,192,4496,true,2591,220489
9,460,34080,true,5151,480198
