#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses 
5,79,10,true,33,289
6,79,10,true,33,289
7,79,10,true,33,289
8,80,10,true,33,289
9,78,10,true,33,289
10,78,20,true,33,289
