#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses 
4,8,20,true,2,6
5,6,20,true,2,6
6,6,20,true,2,6
7,6,10,true,2,6
8,6,20,true,2,6
9,7,15,true,2,6
10,7,20,true,2,6
