#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses
4,2,4,false,36,3025
5,2,4,true,68,7247
6,4,8,true,132,16472
7,10,41,true,260,36484
8,25,150,true,516,79727
9,64,729,true,1028,172701
10,198,11883,true,2052,371722
