#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses
5,12,4,true,135,3235
6,15,3,true,186,5196
7,22,5,true,245,7814
8,16,5,true,312,11182
9,20,7,true,387,18478
10,29,8,true,470,24753
