#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses 
10,480,10,true,184,1633
11,607,20,false,224,2086
12,791,20,true,268,2605
13,993,160,false,316,3193
14,1237,20,true,368,3853
15,1533,3815,false,424,4588
16,1851,20,true,484,5401
17,2235,69865,false,548,6295
